CommodityGroup,CommodityGroupName,CommodityCode,CommodityName
1877,Forest products (export/import),1633,"Sawnwood, non-coniferous all"
1877,Forest products (export/import),1634,Veneer sheets
1877,Forest products (export/import),1640,Plywood
1877,Forest products (export/import),1646,Particle board and OSB (1961-1994)
1877,Forest products (export/import),1647,Hardboard
1877,Forest products (export/import),1648,MDF/HDF
1877,Forest products (export/import),1649,"Fibreboard, compressed (1961-1994)"
1877,Forest products (export/import),1650,Other fibreboard
1877,Forest products (export/import),1651,"Industrial roundwood, coniferous (export/import)"
1877,Forest products (export/import),1654,Mechanical wood pulp
1877,Forest products (export/import),1655,Semi-chemical wood pulp
1877,Forest products (export/import),1656,Chemical wood pulp
1877,Forest products (export/import),1657,"Industrial roundwood, non-coniferous tropical (export/import)"
1877,Forest products (export/import),1667,Dissolving wood pulp
1877,Forest products (export/import),1668,Pulp from fibres other than wood
1877,Forest products (export/import),1669,Recovered paper
1877,Forest products (export/import),1670,"Industrial roundwood, non-coniferous non-tropical (export/import)"
1877,Forest products (export/import),1671,Newsprint
1877,Forest products (export/import),1674,Printing and writing papers
1877,Forest products (export/import),1675,Other paper and paperboard
1877,Forest products (export/import),1693,Wood pellets
1877,Forest products (export/import),1694,Other agglomerates
1877,Forest products (export/import),1697,Particle board
5221,Secondary wood products,1643,"Further processed sawnwood, coniferous"
5221,Secondary wood products,1644,"Further processed sawnwood, non-coniferous all"
5221,Secondary wood products,1645,"Further processed sawnwood, non-coniferous tropical"
5221,Secondary wood products,1652,Wooden wrapping and packaging material
5221,Secondary wood products,1653,Builder's joinery and carpentry of wood
5221,Secondary wood products,1658,Wooden furniture
5221,Secondary wood products,1659,Prefabricated buildings
5221,Secondary wood products,1664,Prefabricated buildings of wood
5229,Secondary paper products,1665,Composite paper and paperboard
5229,Secondary paper products,1666,Special coated paper and pulp products
5229,Secondary paper products,1672,"Carbon paper and copying paper, ready for use"
5229,Secondary paper products,1673,"Household and sanitary paper, ready for use"
5229,Secondary paper products,1677,"Packaging cartons, boxes etc."
5229,Secondary paper products,1679,"Printing and writing paper, ready for use"
5229,Secondary paper products,1680,"Articles, moulded or pressed from pulp"
5229,Secondary paper products,1682,"Filter paper and paperboard, ready for use"
5229,Secondary paper products,1685,Mechanical and semi-chemical wood pulp
5229,Secondary paper products,1686,"Chemical wood pulp, sulphite"
5229,Secondary paper products,1690,Veneer sheets all
